	residual	mouseid	treatment	predicted k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila	day	true_val
D32M3	-0.580326765	M3	control	2.075565944	32	1.472991685
D32M54	2.718616051	M54	no_zinc	1.943468258	32	4.694271299
D32M37	-2.338453628	M37	control	2.075565944	32	-0.272932357
D32M40	-2.42693336	M40	control	2.075565944	32	-0.394762682
D32M8	3.073232475	M8	control	2.075565944	32	5.263920997
D32M19	-2.296770244	M19	control	2.075565944	32	-0.263029269
D32M27	1.319625722	M27	control	2.075565944	32	3.395925611
D32M31	2.288059678	M31	control	2.075565944	32	4.453315061
D32M34	3.396581573	M34	control	2.075565944	32	5.580913194
D32M52	2.313755344	M52	no_zinc	1.943468258	32	4.292748594
D32M62	-0.368905501	M62	no_zinc	1.943468258	32	1.564976127
D32M13	0.092588223	M13	control	2.075565944	32	2.140864902
D32M38	2.263940989	M38	control	2.075565944	32	4.368556594
D32M59	-2.348759823	M59	no_zinc	1.943468258	32	-0.45494813
D32M70	0.896379335	M70	no_zinc	1.943468258	32	2.824388953
D32M15	0.991489883	M15	control	2.075565944	32	3.106192038
D32M2	0.830294083	M2	control	2.075565944	32	2.95270333
D32M32	-2.459215543	M32	control	2.075565944	32	-0.432699628
D32M4	1.640607633	M4	control	2.075565944	32	3.734943428
D32M67	1.665855633	M67	no_zinc	1.943468258	32	3.62569226
D32M10	0.79835093	M10	control	2.075565944	32	2.850929239
D32M53	3.094774072	M53	no_zinc	1.943468258	32	5.077053881
D32M61	-2.200609171	M61	no_zinc	1.943468258	32	-0.304579142
D32M69	-2.154798372	M69	no_zinc	1.943468258	32	-0.263954945
D32M7	1.460527746	M7	control	2.075565944	32	3.529167894
D32M29	2.515891473	M29	control	2.075565944	32	4.605959354
D32M36	-0.157232639	M36	control	2.075565944	32	1.908571548
D16M48	-1.335930683	M48	no_zinc	0.826678717	16	-0.445931959
D16M1	-1.07790557	M1	control	0.82682916	16	-0.267711421
D16M28	-1.020704495	M28	control	0.82682916	16	-0.211869034
D16M37	-1.258607102	M37	control	0.82682916	16	-0.441822615
D16M21	-1.13061216	M21	control	0.82682916	16	-0.326255491
D16M27	-1.179708874	M27	control	0.82682916	16	-0.352145768
D16M30	-1.142585972	M30	control	0.82682916	16	-0.335240933
D16M33	-1.269848919	M33	control	0.82682916	16	-0.467013738
D16M35	-1.164461721	M35	control	0.82682916	16	-0.360944129
D16M75	-1.120414778	M75	no_zinc	0.826678717	16	-0.249377896
D16M12	-1.276233062	M12	control	0.82682916	16	-0.440341541
D16M13	-1.648918077	M13	control	0.82682916	16	-0.849378181
D16M46	-1.246177172	M46	no_zinc	0.826678717	16	-0.442441282
D16M56	-1.214224908	M56	no_zinc	0.826678717	16	-0.421942209
D16M18	-1.467136499	M18	control	0.82682916	16	-0.67677987
D16M47	-1.578146164	M47	no_zinc	0.826678717	16	-0.79641683
D16M70	-1.090089789	M70	no_zinc	0.826678717	16	-0.278869712
D16M39	-1.224675177	M39	control	0.82682916	16	-0.390351308
D16M76	-1.190952094	M76	no_zinc	0.826678717	16	-0.399493942
D16M10	-1.598537688	M10	control	0.82682916	16	-0.794696163
D16M66	-1.03509338	M66	no_zinc	0.826678717	16	-0.239327047
D16M68	-1.247790705	M68	no_zinc	0.826678717	16	-0.45445975
D16M49	-1.063682559	M49	no_zinc	0.826678717	16	-0.269736066
D16M7	-1.160706614	M7	control	0.82682916	16	-0.340803249
D16M29	-1.121178491	M29	control	0.82682916	16	-0.279847393
D16M25	-1.866666433	M25	control	0.82682916	16	-1.080127328
D8M3	-0.433971677	M3	control	0.202460768	8	-0.253758403
D8M48	5.167344831	M48	no_zinc	0.268283946	8	5.498948784
D8M54	-0.595239422	M54	no_zinc	0.268283946	8	-0.294768487
D8M71	-0.969876082	M71	no_zinc	0.268283946	8	-0.722324491
D8M11	-0.385748568	M11	control	0.202460768	8	-0.193065094
D8M75	3.851470464	M75	no_zinc	0.268283946	8	4.164112574
D8M12	-0.655484597	M12	control	0.202460768	8	-0.443961468
D8M22	-0.495429031	M22	control	0.202460768	8	-0.301565792
D8M56	-0.633181287	M56	no_zinc	0.268283946	8	-0.399293359
D8M57	-0.690683552	M57	no_zinc	0.268283946	8	-0.405366549
D8M65	5.699382176	M65	no_zinc	0.268283946	8	6.062685307
D8M9	-0.453702171	M9	control	0.202460768	8	-0.259443453
D8M18	-0.42215072	M18	control	0.202460768	8	-0.256162483
D8M38	-0.499816571	M38	control	0.202460768	8	-0.268306141
D8M47	-0.547631034	M47	no_zinc	0.268283946	8	-0.32429647
D8M55	-0.519961925	M55	no_zinc	0.268283946	8	-0.262749998
D8M59	-0.434913096	M59	no_zinc	0.268283946	8	-0.216285716
D8M70	-0.533811889	M70	no_zinc	0.268283946	8	-0.280986583
D8M15	1.288283513	M15	control	0.202460768	8	1.529880493
D8M2	1.934342625	M2	control	0.202460768	8	2.183646697
D8M32	-0.474546289	M32	control	0.202460768	8	-0.321135549
D8M39	-0.499502597	M39	control	0.202460768	8	-0.289547119
D8M4	-0.46137204	M4	control	0.202460768	8	-0.24014142
D8M67	-0.538599005	M67	no_zinc	0.268283946	8	-0.253946691
D8M74	-0.605780101	M74	no_zinc	0.268283946	8	-0.351449373
D8M76	-0.664155961	M76	no_zinc	0.268283946	8	-0.431092579
D8M79	-0.577773916	M79	no_zinc	0.268283946	8	-0.325859891
D8M10	-0.480859623	M10	control	0.202460768	8	-0.30138649
D8M53	-0.511903248	M53	no_zinc	0.268283946	8	-0.204807752
D8M58	-0.687986563	M58	no_zinc	0.268283946	8	-0.434841877
D8M61	-0.405479876	M61	no_zinc	0.268283946	8	-0.184634159
D8M63	-0.619443196	M63	no_zinc	0.268283946	8	-0.366007064
D8M69	-0.777541314	M69	no_zinc	0.268283946	8	-0.561882201
D8M72	-0.570490932	M72	no_zinc	0.268283946	8	-0.278468166
D8M66	-0.548219972	M66	no_zinc	0.268283946	8	-0.310848411
D8M68	-0.533592838	M68	no_zinc	0.268283946	8	-0.298656654
D8M49	-0.55551196	M49	no_zinc	0.268283946	8	-0.319960238
D8M7	-0.502133153	M7	control	0.202460768	8	-0.306598181
D8M73	3.97080431	M73	no_zinc	0.268283946	8	4.304186618
D8M29	-0.529802501	M29	control	0.202460768	8	-0.312839795
D8M36	-0.45561527	M36	control	0.202460768	8	-0.262916259
D8M25	-0.447313154	M25	control	0.202460768	8	-0.28514244
D8M50	-0.510610031	M50	no_zinc	0.268283946	8	-0.256403218
D8M60	6.56049934	M60	no_zinc	0.268283946	8	6.929191531
D8M77	-0.655981796	M77	no_zinc	0.268283946	8	-0.402709686
D8M78	-0.667804721	M78	no_zinc	0.268283946	8	-0.415724509
D8M80	-0.689026696	M80	no_zinc	0.268283946	8	-0.437480152
D2M3	-0.267695613	M3	control	-0.265815526	2	-0.555758633
D2M48	-0.182649399	M48	no_zinc	-0.150512133	2	-0.269841524
D2M54	-0.268627116	M54	no_zinc	-0.150512133	2	-0.38695226
D2M1	0.119326348	M1	control	-0.265815526	2	-0.163124189
D2M14	-0.61076504	M14	control	-0.265815526	2	-0.887179672
D2M23	0.021518057	M23	control	-0.265815526	2	-0.243924048
D2M26	-0.256794655	M26	control	-0.265815526	2	-0.527066549
D2M28	-0.01616801	M28	control	-0.265815526	2	-0.299977235
D2M37	3.018244498	M37	control	-0.265815526	2	2.7423843
D2M40	-0.073684115	M40	control	-0.265815526	2	-0.382894907
D2M43	-0.227225986	M43	no_zinc	-0.150512133	2	-0.381681358
D2M64	2.175084122	M64	no_zinc	-0.150512133	2	2.062318008
D2M71	-0.224809256	M71	no_zinc	-0.150512133	2	-0.396053743
D2M8	3.560613966	M8	control	-0.265815526	2	3.409921019
D2M11	-0.177660188	M11	control	-0.265815526	2	-0.453253008
D2M16	-0.034808962	M16	control	-0.265815526	2	-0.301228556
D2M17	-0.092222974	M17	control	-0.265815526	2	-0.359638921
D2M19	-0.113360084	M19	control	-0.265815526	2	-0.421000578
D2M20	-0.11620796	M20	control	-0.265815526	2	-0.384040138
D2M21	-0.164347139	M21	control	-0.265815526	2	-0.452635155
D2M24	-0.004883962	M24	control	-0.265815526	2	-0.270784243
D2M27	-0.097623841	M27	control	-0.265815526	2	-0.362705421
D2M30	0.019829078	M30	control	-0.265815526	2	-0.265470569
D2M31	2.880222522	M31	control	-0.265815526	2	2.704096437
D2M33	-0.112784922	M33	control	-0.265815526	2	-0.402594426
D2M34	2.870953569	M34	control	-0.265815526	2	2.713903721
D2M35	-0.178848723	M35	control	-0.265815526	2	-0.467975817
D2M52	-0.26665611	M52	no_zinc	-0.150512133	2	-0.381643251
D2M6	0.021219042	M6	control	-0.265815526	2	-0.244228252
D2M62	-0.183516406	M62	no_zinc	-0.150512133	2	-0.343615169
D2M75	-0.174951953	M75	no_zinc	-0.150512133	2	-0.281105921
D2M12	2.453928922	M12	control	-0.265815526	2	2.197175757
D2M13	-0.016192154	M13	control	-0.265815526	2	-0.309296944
D2M22	3.26E-06	M22	control	-0.265815526	2	-0.274409791
D2M46	-0.075884855	M46	no_zinc	-0.150512133	2	-0.249339814
D2M5	0.011942773	M5	control	-0.265815526	2	-0.2536655
D2M56	-0.134636808	M56	no_zinc	-0.150512133	2	-0.319544958
D2M57	1.672199853	M57	no_zinc	-0.150512133	2	1.538720778
D2M65	-0.223977623	M65	no_zinc	-0.150512133	2	-0.27947057
D2M9	-0.018934415	M9	control	-0.265815526	2	-0.292951991
D2M18	-0.212413223	M18	control	-0.265815526	2	-0.51470128
D2M38	-0.090160881	M38	control	-0.265815526	2	-0.326926745
D2M47	-0.464394989	M47	no_zinc	-0.150512133	2	-0.659856504
D2M55	-0.118054286	M55	no_zinc	-0.150512133	2	-0.279638437
D2M59	-0.07774692	M59	no_zinc	-0.150512133	2	-0.277915617
D2M70	-0.163269399	M70	no_zinc	-0.150512133	2	-0.329240171
D2M15	-0.024580524	M15	control	-0.265815526	2	-0.251259838
D2M2	-0.065328798	M2	control	-0.265815526	2	-0.28430102
D2M32	0.107293218	M32	control	-0.265815526	2	-0.207572336
D2M39	2.156054403	M39	control	-0.265815526	2	1.897733586
D2M4	-0.097637916	M4	control	-0.265815526	2	-0.34468359
D2M67	-0.184042465	M67	no_zinc	-0.150512133	2	-0.318186228
D2M74	-0.198262905	M74	no_zinc	-0.150512133	2	-0.362728255
D2M76	-0.174448765	M76	no_zinc	-0.150512133	2	-0.360181462
D2M79	-0.365529665	M79	no_zinc	-0.150512133	2	-0.532411719
D2M10	-0.043597699	M10	control	-0.265815526	2	-0.33240086
D2M51	-0.130217855	M51	no_zinc	-0.150512133	2	-0.282989765
D2M53	-0.346386278	M53	no_zinc	-0.150512133	2	-0.45808686
D2M58	-0.18440117	M58	no_zinc	-0.150512133	2	-0.350052562
D2M61	-0.127500967	M61	no_zinc	-0.150512133	2	-0.325451329
D2M63	-0.236150177	M63	no_zinc	-0.150512133	2	-0.401510123
D2M69	-0.10012416	M69	no_zinc	-0.150512133	2	-0.303261125
D2M72	1.938421466	M72	no_zinc	-0.150512133	2	1.811648154
D2M66	-0.19798804	M66	no_zinc	-0.150512133	2	-0.379412557
D2M68	-0.140254535	M68	no_zinc	-0.150512133	2	-0.324114429
D2M49	-0.266973679	M49	no_zinc	-0.150512133	2	-0.450218035
D2M7	-0.196781415	M7	control	-0.265815526	2	-0.469522736
D2M73	-0.219563281	M73	no_zinc	-0.150512133	2	-0.304977052
D2M29	-0.029247916	M29	control	-0.265815526	2	-0.280561503
D2M36	0.050334486	M36	control	-0.265815526	2	-0.225242796
D2M25	-0.007702568	M25	control	-0.265815526	2	-0.313808148
D2M50	-0.300573453	M50	no_zinc	-0.150512133	2	-0.465162718
D2M60	-0.774554551	M60	no_zinc	-0.150512133	2	-0.824658438
D2M77	-0.209063208	M77	no_zinc	-0.150512133	2	-0.374587176
D2M78	-0.265922504	M78	no_zinc	-0.150512133	2	-0.432638371
D2M80	-0.275452718	M80	no_zinc	-0.150512133	2	-0.442702252