	residual	true_val	mouseid	predicted k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__	treatment	day
D32M3	4.813307133	10.08530698	M3	5.271999844	control	32
D32M54	1.914255038	8.979272835	M54	7.065017794	no_zinc	32
D32M37	-1.490088144	3.781911699	M37	5.271999844	control	32
D32M40	-1.391310334	3.880689506	M40	5.271999844	control	32
D32M8	1.382016321	6.654016161	M8	5.271999844	control	32
D32M19	-1.473223372	3.798776465	M19	5.271999844	control	32
D32M27	2.902595405	8.174595253	M27	5.271999844	control	32
D32M31	-2.301543573	2.970456268	M31	5.271999844	control	32
D32M34	3.500942092	8.772941939	M34	5.271999844	control	32
D32M52	2.137111734	9.202129529	M52	7.065017794	no_zinc	32
D32M62	3.396729326	10.46174713	M62	7.065017794	no_zinc	32
D32M13	-2.20652515	3.065474696	M13	5.271999844	control	32
D32M38	-1.649171116	3.622828723	M38	5.271999844	control	32
D32M59	3.859893327	10.92491112	M59	7.065017794	no_zinc	32
D32M70	3.607474512	10.6724923	M70	7.065017794	no_zinc	32
D32M15	-2.015846135	3.256153706	M15	5.271999844	control	32
D32M2	3.228925893	8.50092574	M2	5.271999844	control	32
D32M32	-1.159372703	4.112627139	M32	5.271999844	control	32
D32M4	-1.357650171	3.914349669	M4	5.271999844	control	32
D32M67	-4.160815149	2.904202634	M67	7.065017794	no_zinc	32
D32M10	-1.789200509	3.482799338	M10	5.271999844	control	32
D32M53	2.161297108	9.226314908	M53	7.065017794	no_zinc	32
D32M61	-2.833146624	4.231871171	M61	7.065017794	no_zinc	32
D32M69	-3.635140215	3.429877574	M69	7.065017794	no_zinc	32
D32M7	-2.861238204	2.410761637	M7	5.271999844	control	32
D32M29	1.363737621	6.635737466	M29	5.271999844	control	32
D32M36	-1.905429061	3.366570777	M36	5.271999844	control	32
D16M48	-2.311112717	3.508838884	M48	5.819951601	no_zinc	16
D16M1	-0.84222277	3.44384532	M1	4.286068091	control	16
D16M28	-1.809622132	2.476445957	M28	4.286068091	control	16
D16M37	1.163238035	5.449306126	M37	4.286068091	control	16
D16M21	-0.216904052	4.069164041	M21	4.286068091	control	16
D16M27	0.121040946	4.407109041	M27	4.286068091	control	16
D16M30	-4.621309018	-0.335240933	M30	4.286068091	control	16
D16M33	4.130436037	8.416504133	M33	4.286068091	control	16
D16M35	-0.282971932	4.003096162	M35	4.286068091	control	16
D16M75	-3.251658491	2.56829311	M75	5.819951601	no_zinc	16
D16M12	-1.762169604	2.523898487	M12	4.286068091	control	16
D16M13	5.449177546	9.73524564	M13	4.286068091	control	16
D16M46	-2.890862493	2.929089104	M46	5.819951601	no_zinc	16
D16M56	4.92167391	10.74162551	M56	5.819951601	no_zinc	16
D16M18	4.887724852	9.173792952	M18	4.286068091	control	16
D16M47	3.329668502	9.149620111	M47	5.819951601	no_zinc	16
D16M70	-2.461628396	3.358323203	M70	5.819951601	no_zinc	16
D16M39	-1.697744249	2.588323839	M39	4.286068091	control	16
D16M76	-1.084078454	4.735873141	M76	5.819951601	no_zinc	16
D16M10	5.586677587	9.872745682	M10	4.286068091	control	16
D16M66	-3.376822318	2.443129285	M66	5.819951601	no_zinc	16
D16M68	-2.640833901	3.1791177	M68	5.819951601	no_zinc	16
D16M49	-2.264255509	3.555696098	M49	5.819951601	no_zinc	16
D16M7	-0.897968814	3.388099275	M7	4.286068091	control	16
D16M29	-0.9452975	3.340770591	M29	4.286068091	control	16
D16M25	5.023023954	9.309092051	M25	4.286068091	control	16
D8M3	-0.770919463	3.022182759	M3	3.793102215	control	8
D8M48	2.988180659	8.185599164	M48	5.197418505	no_zinc	8
D8M54	-2.261448153	2.935970355	M54	5.197418505	no_zinc	8
D8M71	4.085580044	9.282998556	M71	5.197418505	no_zinc	8
D8M11	-1.878236524	1.914865684	M11	3.793102215	control	8
D8M75	4.913526132	10.11094464	M75	5.197418505	no_zinc	8
D8M12	0.087874139	3.880976354	M12	3.793102215	control	8
D8M22	-0.076347957	3.716754258	M22	3.793102215	control	8
D8M56	-2.094048802	3.103369707	M56	5.197418505	no_zinc	8
D8M57	-0.913099405	4.284319103	M57	5.197418505	no_zinc	8
D8M65	1.354486712	6.551905217	M65	5.197418505	no_zinc	8
D8M9	-0.354521329	3.438580884	M9	3.793102215	control	8
D8M18	-0.277638775	3.515463449	M18	3.793102215	control	8
D8M38	-1.211968925	2.581133286	M38	3.793102215	control	8
D8M47	-1.376895503	3.82052301	M47	5.197418505	no_zinc	8
D8M55	-1.806342624	3.391075878	M55	5.197418505	no_zinc	8
D8M59	-1.817658525	3.379759982	M59	5.197418505	no_zinc	8
D8M70	-2.010318101	3.187100402	M70	5.197418505	no_zinc	8
D8M15	-0.136738865	3.656363347	M15	3.793102215	control	8
D8M2	0.061081936	3.854184153	M2	3.793102215	control	8
D8M32	0.112940505	3.906042718	M32	3.793102215	control	8
D8M39	-1.645745227	2.147356984	M39	3.793102215	control	8
D8M4	-0.703145022	3.089957189	M4	3.793102215	control	8
D8M67	-2.558011418	2.639407077	M67	5.197418505	no_zinc	8
D8M74	-1.030920548	4.166497955	M74	5.197418505	no_zinc	8
D8M76	-2.670983176	2.526435324	M76	5.197418505	no_zinc	8
D8M79	-3.026420039	2.170998461	M79	5.197418505	no_zinc	8
D8M10	-0.56987166	3.223230559	M10	3.793102215	control	8
D8M53	-2.014810281	3.182608231	M53	5.197418505	no_zinc	8
D8M58	0.748083152	5.945501657	M58	5.197418505	no_zinc	8
D8M61	-2.261945494	2.935473013	M61	5.197418505	no_zinc	8
D8M63	-1.953700807	3.243717694	M63	5.197418505	no_zinc	8
D8M69	1.669911738	6.86733024	M69	5.197418505	no_zinc	8
D8M72	-1.695478064	3.50194044	M72	5.197418505	no_zinc	8
D8M66	5.935313099	11.13273161	M66	5.197418505	no_zinc	8
D8M68	-0.794371419	4.403047086	M68	5.197418505	no_zinc	8
D8M49	2.753479765	7.950898276	M49	5.197418505	no_zinc	8
D8M7	-0.766030714	3.027071498	M7	3.793102215	control	8
D8M73	2.377650634	7.575069139	M73	5.197418505	no_zinc	8
D8M29	0.126647624	3.91974984	M29	3.793102215	control	8
D8M36	-0.745058555	3.048043654	M36	3.793102215	control	8
D8M25	-0.20553855	3.587563671	M25	3.793102215	control	8
D8M50	-2.181653383	3.015765119	M50	5.197418505	no_zinc	8
D8M60	2.637335062	7.834753573	M60	5.197418505	no_zinc	8
D8M77	-0.705065949	4.492352553	M77	5.197418505	no_zinc	8
D8M78	-1.344180503	3.853237998	M78	5.197418505	no_zinc	8
D8M80	0.885299606	6.082718111	M80	5.197418505	no_zinc	8
D2M3	2.036744674	5.460122489	M3	3.423377808	control	2
D2M48	-1.064389882	3.666128801	M48	4.730518683	no_zinc	2
D2M54	2.463676703	7.194195388	M54	4.730518683	no_zinc	2
D2M1	-0.252591246	3.170786561	M1	3.423377808	control	2
D2M14	4.667611277	8.09098909	M14	3.423377808	control	2
D2M23	0.647542705	4.070920513	M23	3.423377808	control	2
D2M26	1.230667289	4.654045098	M26	3.423377808	control	2
D2M28	0.420920527	3.844298333	M28	3.423377808	control	2
D2M37	-0.189739257	3.23363855	M37	3.423377808	control	2
D2M40	-1.160823664	2.262554141	M40	3.423377808	control	2
D2M43	0.112195147	4.84271383	M43	4.730518683	no_zinc	2
D2M64	-0.73457671	3.995941972	M64	4.730518683	no_zinc	2
D2M71	1.223673871	5.954192561	M71	4.730518683	no_zinc	2
D2M8	-3.775632479	-0.352254674	M8	3.423377808	control	2
D2M11	-3.876630809	-0.453253008	M11	3.423377808	control	2
D2M16	-0.203738594	3.219639214	M16	3.423377808	control	2
D2M17	-0.483802429	2.939575378	M17	3.423377808	control	2
D2M19	-3.844378379	-0.421000578	M19	3.423377808	control	2
D2M20	2.158224137	5.581601947	M20	3.423377808	control	2
D2M21	1.854366198	5.277744007	M21	3.423377808	control	2
D2M24	-0.51890182	2.904475987	M24	3.423377808	control	2
D2M27	0.259441471	3.682819283	M27	3.423377808	control	2
D2M30	-0.066775895	3.356601907	M30	3.423377808	control	2
D2M31	-0.329496221	3.093881584	M31	3.423377808	control	2
D2M33	0.393074972	3.816452785	M33	3.423377808	control	2
D2M34	-0.217544857	3.205832955	M34	3.423377808	control	2
D2M35	2.641892661	6.065270471	M35	3.423377808	control	2
D2M52	-1.404947208	3.325571476	M52	4.730518683	no_zinc	2
D2M6	-1.442428152	1.980949653	M6	3.423377808	control	2
D2M62	6.377076085	11.10759478	M62	4.730518683	no_zinc	2
D2M75	-1.648877159	3.081641525	M75	4.730518683	no_zinc	2
D2M12	1.773231306	5.196609114	M12	3.423377808	control	2
D2M13	-0.975533657	2.447844154	M13	3.423377808	control	2
D2M22	0.034118603	3.457496411	M22	3.423377808	control	2
D2M46	-0.712447884	4.018070795	M46	4.730518683	no_zinc	2
D2M5	0.12076491	3.544142717	M5	3.423377808	control	2
D2M56	0.110247833	4.84076652	M56	4.730518683	no_zinc	2
D2M57	3.160435698	7.890954384	M57	4.730518683	no_zinc	2
D2M65	-2.02809819	2.702420493	M65	4.730518683	no_zinc	2
D2M9	-0.95387036	2.469507447	M9	3.423377808	control	2
D2M18	2.740484569	6.163862386	M18	3.423377808	control	2
D2M38	-0.108766386	3.314611418	M38	3.423377808	control	2
D2M47	4.356135114	9.086653805	M47	4.730518683	no_zinc	2
D2M55	-1.408717578	3.321801102	M55	4.730518683	no_zinc	2
D2M59	-1.00004986	3.730468825	M59	4.730518683	no_zinc	2
D2M70	-1.109952108	3.620566573	M70	4.730518683	no_zinc	2
D2M15	-0.662461021	2.760916783	M15	3.423377808	control	2
D2M2	-0.94787537	2.475502441	M2	3.423377808	control	2
D2M32	-0.829946452	2.593431353	M32	3.423377808	control	2
D2M39	0.224780431	3.648158235	M39	3.423377808	control	2
D2M4	-0.500338513	2.923039291	M4	3.423377808	control	2
D2M67	-1.661951755	3.068566918	M67	4.730518683	no_zinc	2
D2M74	-0.558776346	4.171742336	M74	4.730518683	no_zinc	2
D2M76	-1.149779356	3.580739321	M76	4.730518683	no_zinc	2
D2M79	-1.707582335	3.022936343	M79	4.730518683	no_zinc	2
D2M10	0.072013669	3.495391481	M10	3.423377808	control	2
D2M51	-1.237587017	3.492931664	M51	4.730518683	no_zinc	2
D2M53	5.179389816	9.909908506	M53	4.730518683	no_zinc	2
D2M58	-0.719200981	4.011317702	M58	4.730518683	no_zinc	2
D2M61	6.37084537	11.10136406	M61	4.730518683	no_zinc	2
D2M63	-1.259173246	3.471345433	M63	4.730518683	no_zinc	2
D2M69	-1.51069081	3.219827869	M69	4.730518683	no_zinc	2
D2M72	0.122563066	4.853081747	M72	4.730518683	no_zinc	2
D2M66	-0.997342296	3.733176389	M66	4.730518683	no_zinc	2
D2M68	3.251345615	7.981864298	M68	4.730518683	no_zinc	2
D2M49	3.93207053	8.662589219	M49	4.730518683	no_zinc	2
D2M7	2.425608035	5.84898584	M7	3.423377808	control	2
D2M73	-2.124484409	2.606034274	M73	4.730518683	no_zinc	2
D2M29	0.147764698	3.571142506	M29	3.423377808	control	2
D2M36	-2.067918307	1.355459495	M36	3.423377808	control	2
D2M25	-0.362875781	3.060502032	M25	3.423377808	control	2
D2M50	-0.093628318	4.636890363	M50	4.730518683	no_zinc	2
D2M60	2.338634031	7.06915272	M60	4.730518683	no_zinc	2
D2M77	-1.98040965	2.75010903	M77	4.730518683	no_zinc	2
D2M78	-1.975901962	2.754616717	M78	4.730518683	no_zinc	2
D2M80	-1.158967416	3.571551267	M80	4.730518683	no_zinc	2