	day	residual	true_val	mouseid	treatment	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__agalactiae
D32M3	32	0.434095841	8.641256724	M3	control	8.081432641
D32M54	32	-1.622874204	4.035833155	M54	no_zinc	5.588416267
D32M37	32	1.667721639	9.842104159	M37	control	8.081432641
D32M40	32	2.000214902	10.20482319	M40	control	8.081432641
D32M8	32	-3.728866671	4.298909531	M8	control	8.081432641
D32M19	32	-1.120430454	6.965383196	M19	control	8.081432641
D32M27	32	-4.176848924	3.764788471	M27	control	8.081432641
D32M31	32	-4.806301477	3.120743255	M31	control	8.081432641
D32M34	32	-1.092549642	6.871866202	M34	control	8.081432641
D32M52	32	-1.471788252	4.164083409	M52	no_zinc	5.588416267
D32M62	32	-3.232605647	2.187211597	M62	no_zinc	5.588416267
D32M13	32	3.02006493	11.09441517	M13	control	8.081432641
D32M38	32	2.771411024	10.88336863	M38	control	8.081432641
D32M59	32	2.572533634	8.375795431	M59	no_zinc	5.588416267
D32M70	32	1.757518701	7.447607336	M70	no_zinc	5.588416267
D32M15	32	-5.070849891	2.715251809	M15	control	8.081432641
D32M2	32	-2.35870239	5.775460329	M2	control	8.081432641
D32M32	32	2.940300403	11.03245893	M32	control	8.081432641
D32M4	32	1.511177852	9.715558678	M4	control	8.081432641
D32M67	32	-1.36192631	4.09546732	M67	no_zinc	5.588416267
D32M10	32	0.862800859	8.772494339	M10	control	8.081432641
D32M53	32	-2.681652312	2.694674499	M53	no_zinc	5.588416267
D32M61	32	1.579901293	7.15659731	M61	no_zinc	5.588416267
D32M69	32	5.302003141	11.20424528	M69	no_zinc	5.588416267
D32M7	32	2.729318973	10.86657609	M7	control	8.081432641
D32M29	32	2.380157234	10.40199586	M29	control	8.081432641
D32M36	32	1.547131117	9.599060901	M36	control	8.081432641
D16M48	16	4.029012408	11.0185845	M48	no_zinc	6.932684472
D16M1	16	0.614773211	9.127718456	M1	control	8.614068162
D16M28	16	2.101837813	10.7460841	M28	control	8.614068162
D16M37	16	2.30833339	11.01535143	M37	control	8.614068162
D16M21	16	1.068616032	9.684106849	M21	control	8.614068162
D16M27	16	0.022781046	8.497053962	M27	control	8.614068162
D16M30	16	2.434563034	11.13405432	M30	control	8.614068162
D16M33	16	-0.836177017	7.73555436	M33	control	8.614068162
D16M35	16	0.904515257	9.435540044	M35	control	8.614068162
D16M75	16	2.989409558	9.828498117	M75	no_zinc	6.932684472
D16M12	16	2.218065025	10.98552063	M12	control	8.614068162
D16M13	16	-4.626322523	3.980663234	M13	control	8.614068162
D16M46	16	2.545792124	9.432339969	M46	no_zinc	6.932684472
D16M56	16	-3.217839988	3.62171595	M56	no_zinc	6.932684472
D16M18	16	-1.65266029	6.955226662	M18	control	8.614068162
D16M47	16	-1.978070127	5.00374424	M47	no_zinc	6.932684472
D16M70	16	0.041076607	7.075433447	M70	no_zinc	6.932684472
D16M39	16	2.376664615	11.07476365	M39	control	8.614068162
D16M76	16	-3.184843121	3.705150447	M76	no_zinc	6.932684472
D16M10	16	-4.341810355	4.100518646	M10	control	8.614068162
D16M66	16	4.004909828	11.13744085	M66	no_zinc	6.932684472
D16M68	16	-3.013213835	3.858966096	M68	no_zinc	6.932684472
D16M49	16	4.148241933	11.19880027	M49	no_zinc	6.932684472
D16M7	16	0.519966991	9.18985963	M7	control	8.614068162
D16M29	16	-1.016921295	7.537552852	M29	control	8.614068162
D16M25	16	0.284064724	8.89378745	M25	control	8.614068162
D8M3	8	1.758173022	10.76428719	M3	control	8.880385922
D8M48	8	-3.255637471	4.406068724	M48	no_zinc	7.604818574
D8M54	8	3.500214461	11.17532413	M54	no_zinc	7.604818574
D8M71	8	-2.32311441	5.244662754	M71	no_zinc	7.604818574
D8M11	8	2.266969389	11.27812033	M11	control	8.880385922
D8M75	8	-4.210964606	3.300258056	M75	no_zinc	7.604818574
D8M12	8	0.733576105	9.767349467	M12	control	8.880385922
D8M22	8	0.349710495	9.26762427	M22	control	8.880385922
D8M56	8	0.837387051	8.349077092	M56	no_zinc	7.604818574
D8M57	8	1.960446115	9.699110477	M57	no_zinc	7.604818574
D8M65	8	-5.003796126	2.540397642	M65	no_zinc	7.604818574
D8M9	8	0.955946061	9.77985435	M9	control	8.880385922
D8M18	8	0.253518247	9.127722959	M18	control	8.880385922
D8M38	8	-2.19881168	6.712099206	M38	control	8.880385922
D8M47	8	1.347662209	9.001610678	M47	no_zinc	7.604818574
D8M55	8	1.290214137	9.03284327	M55	no_zinc	7.604818574
D8M59	8	1.162697117	8.982361221	M59	no_zinc	7.604818574
D8M70	8	0.898160591	8.604651534	M70	no_zinc	7.604818574
D8M15	8	-1.344436538	7.240618444	M15	control	8.880385922
D8M2	8	1.95575042	10.88886642	M2	control	8.880385922
D8M32	8	-2.042488771	6.848623039	M32	control	8.880385922
D8M39	8	-1.023570871	7.940845927	M39	control	8.880385922
D8M4	8	0.945897622	9.94923173	M4	control	8.880385922
D8M67	8	-0.579786234	6.894009703	M67	no_zinc	7.604818574
D8M74	8	-1.091780297	6.542845329	M74	no_zinc	7.604818574
D8M76	8	0.311632529	7.8737602	M76	no_zinc	7.604818574
D8M79	8	-0.250554966	7.331510099	M79	no_zinc	7.604818574
D8M10	8	-1.666657298	7.041989464	M10	control	8.880385922
D8M53	8	-1.054643093	6.338086024	M53	no_zinc	7.604818574
D8M58	8	-1.565719706	6.020802304	M58	no_zinc	7.604818574
D8M61	8	-1.442910567	6.150187756	M61	no_zinc	7.604818574
D8M63	8	-0.514807275	7.020229062	M63	no_zinc	7.604818574
D8M69	8	1.598935869	9.517580318	M69	no_zinc	7.604818574
D8M72	8	0.024472141	7.696260644	M72	no_zinc	7.604818574
D8M66	8	-0.553883268	7.250781855	M66	no_zinc	7.604818574
D8M68	8	1.433907233	8.978221266	M68	no_zinc	7.604818574
D8M49	8	-2.893537248	4.829155195	M49	no_zinc	7.604818574
D8M7	8	-2.557930141	6.378280258	M7	control	8.880385922
D8M73	8	-2.588112776	5.031435368	M73	no_zinc	7.604818574
D8M29	8	-1.671992057	7.148799851	M29	control	8.880385922
D8M36	8	0.389568688	9.240451753	M36	control	8.880385922
D8M25	8	-0.206458522	8.669581965	M25	control	8.880385922
D8M50	8	0.153297853	7.702114076	M50	no_zinc	7.604818574
D8M60	8	-2.535489189	4.939116819	M60	no_zinc	7.604818574
D8M77	8	-1.298350281	6.27074779	M77	no_zinc	7.604818574
D8M78	8	0.031780455	7.646120714	M78	no_zinc	7.604818574
D8M80	8	-2.443713042	4.984215847	M80	no_zinc	7.604818574
D2M3	2	1.668312007	10.87416449	M3	control	9.080124243
D2M48	2	0.973402551	9.139209323	M48	no_zinc	8.108919151
D2M54	2	0.281000936	8.460211179	M54	no_zinc	8.108919151
D2M1	2	-3.71982896	5.259172366	M1	control	9.080124243
D2M14	2	1.193410426	10.31240068	M14	control	9.080124243
D2M23	2	-2.349868551	6.653727094	M23	control	9.080124243
D2M26	2	0.812954109	9.919553977	M26	control	9.080124243
D2M28	2	-1.17519578	7.935106583	M28	control	9.080124243
D2M37	2	-1.121958602	8.05111552	M37	control	9.080124243
D2M40	2	1.781986747	10.98528664	M40	control	9.080124243
D2M43	2	0.369992095	8.490960846	M43	no_zinc	8.108919151
D2M64	2	-1.376772567	6.68730898	M64	no_zinc	8.108919151
D2M71	2	1.185729882	9.257607623	M71	no_zinc	8.108919151
D2M8	2	2.08130509	11.10777289	M8	control	9.080124243
D2M11	2	1.748269613	10.95915888	M11	control	9.080124243
D2M16	2	-0.958250249	8.090666482	M16	control	9.080124243
D2M17	2	1.95578707	11.09960579	M17	control	9.080124243
D2M19	2	1.254952654	10.33945791	M19	control	9.080124243
D2M20	2	-0.927089131	8.122842431	M20	control	9.080124243
D2M21	2	-1.02493235	8.056614547	M21	control	9.080124243
D2M24	2	1.656810034	10.79089191	M24	control	9.080124243
D2M27	2	-0.138451023	8.801877973	M27	control	9.080124243
D2M30	2	0.188418837	9.353966209	M30	control	9.080124243
D2M31	2	0.065703836	8.99144017	M31	control	9.080124243
D2M33	2	-0.46380602	8.573981438	M33	control	9.080124243
D2M34	2	-2.500539725	6.46256772	M34	control	9.080124243
D2M35	2	-3.454424961	5.542655906	M35	control	9.080124243
D2M52	2	2.92894206	11.08531661	M52	no_zinc	8.108919151
D2M6	2	2.074790881	11.22248522	M6	control	9.080124243
D2M62	2	-1.944355046	5.995965081	M62	no_zinc	8.108919151
D2M75	2	-1.652378316	6.362944923	M75	no_zinc	8.108919151
D2M12	2	1.75823637	10.99174805	M12	control	9.080124243
D2M13	2	1.388786995	10.46182883	M13	control	9.080124243
D2M22	2	0.80261064	9.920262735	M22	control	9.080124243
D2M46	2	-3.962452192	4.100330332	M46	no_zinc	8.108919151
D2M5	2	2.065103638	11.21248249	M5	control	9.080124243
D2M56	2	-0.479129189	7.536661429	M56	no_zinc	8.108919151
D2M57	2	2.149390131	10.39215507	M57	no_zinc	8.108919151
D2M65	2	3.142265558	11.1905599	M65	no_zinc	8.108919151
D2M9	2	-2.690134559	6.33351205	M9	control	9.080124243
D2M18	2	1.209343291	10.28328632	M18	control	9.080124243
D2M38	2	0.364692788	9.475341994	M38	control	9.080124243
D2M47	2	2.138978554	10.2970276	M47	no_zinc	8.108919151
D2M55	2	2.941363443	11.18809315	M55	no_zinc	8.108919151
D2M59	2	2.861763928	11.18552861	M59	no_zinc	8.108919151
D2M70	2	0.425171153	8.635762672	M70	no_zinc	8.108919151
D2M15	2	-2.653073737	6.131719565	M15	control	9.080124243
D2M2	2	2.022068911	11.15492323	M2	control	9.080124243
D2M32	2	-0.56846514	8.52238499	M32	control	9.080124243
D2M39	2	1.227137905	10.39129302	M39	control	9.080124243
D2M4	2	1.318141662	10.52121409	M4	control	9.080124243
D2M67	2	-2.081436735	5.896459779	M67	no_zinc	8.108919151
D2M74	2	2.007028399	10.1457546	M74	no_zinc	8.108919151
D2M76	2	1.562354063	9.62858231	M76	no_zinc	8.108919151
D2M79	2	-0.448108782	7.63805686	M79	no_zinc	8.108919151
D2M10	2	-0.12771418	8.780670902	M10	control	9.080124243
D2M51	2	-1.993210562	6.050795337	M51	no_zinc	8.108919151
D2M53	2	-2.776071963	5.120757731	M53	no_zinc	8.108919151
D2M58	2	1.00390984	9.094532426	M58	no_zinc	8.108919151
D2M61	2	-0.496869904	7.600328996	M61	no_zinc	8.108919151
D2M63	2	-1.627909168	6.411227745	M63	no_zinc	8.108919151
D2M69	2	2.735322092	11.15806712	M69	no_zinc	8.108919151
D2M72	2	2.031890229	10.20777931	M72	no_zinc	8.108919151
D2M66	2	2.685413051	10.99417875	M66	no_zinc	8.108919151
D2M68	2	-0.278531146	7.769883464	M68	no_zinc	8.108919151
D2M49	2	2.364701722	10.59149474	M49	no_zinc	8.108919151
D2M7	2	1.022777012	10.15872573	M7	control	9.080124243
D2M73	2	3.040395375	11.1640441	M73	no_zinc	8.108919151
D2M29	2	-1.521123216	7.499407012	M29	control	9.080124243
D2M36	2	-2.842607382	6.208014004	M36	control	9.080124243
D2M25	2	-0.211036108	8.864742699	M25	control	9.080124243
D2M50	2	-1.87289244	6.18002436	M50	no_zinc	8.108919151
D2M60	2	-1.462786275	6.515920309	M60	no_zinc	8.108919151
D2M77	2	0.201525188	8.274723836	M77	no_zinc	8.108919151
D2M78	2	0.260590091	8.379030927	M78	no_zinc	8.108919151
D2M80	2	-2.987818693	4.944210773	M80	no_zinc	8.108919151