	treatment	mouseid	residual	true_val	day	predicted k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Morganella;s__morganii
D32M3	control	M3	-0.77677087	-0.338015235	32	0.347396609
D32M54	no_zinc	M54	-0.353093329	1.350920817	32	2.020233156
D32M37	control	M37	-1.095476408	-0.272932357	32	0.347396609
D32M40	control	M40	-1.126399333	-0.394762682	32	0.347396609
D32M8	control	M8	-2.180192583	-1.187194178	32	0.347396609
D32M19	control	M19	-0.215906498	-0.263029269	32	0.347396609
D32M27	control	M27	-0.418299238	-0.588474651	32	0.347396609
D32M31	control	M31	1.549218247	2.303944849	32	0.347396609
D32M34	control	M34	-0.97741223	-1.326948573	32	0.347396609
D32M52	no_zinc	M52	-2.88669237	-1.23786888	32	2.020233156
D32M62	no_zinc	M62	0.524083156	3.632434422	32	2.020233156
D32M13	control	M13	1.058425528	1.203468602	32	0.347396609
D32M38	control	M38	-0.435977914	-0.568039096	32	0.347396609
D32M59	no_zinc	M59	0.7224681	2.777980255	32	2.020233156
D32M70	no_zinc	M70	1.747786059	2.824388953	32	2.020233156
D32M15	control	M15	-0.317780323	-0.42528184	32	0.347396609
D32M2	control	M2	-2.246899059	-0.898820939	32	0.347396609
D32M32	control	M32	2.230985698	2.933124783	32	0.347396609
D32M4	control	M4	-1.057096254	-0.31253147	32	0.347396609
D32M67	no_zinc	M67	1.725154084	3.138779738	32	2.020233156
D32M10	control	M10	-0.897190607	-0.399114117	32	0.347396609
D32M53	no_zinc	M53	-1.718617956	-1.38365382	32	2.020233156
D32M61	no_zinc	M61	-1.570919281	-0.304579142	32	2.020233156
D32M69	no_zinc	M69	1.110116622	2.974689538	32	2.020233156
D32M7	control	M7	1.903624056	2.238240498	32	0.347396609
D32M29	control	M29	2.73117023	3.316260695	32	0.347396609
D32M36	control	M36	-0.322167824	-0.386820118	32	0.347396609
D16M48	no_zinc	M48	2.817787346	3.839820917	16	1.753647268
D16M1	control	M1	-0.265962498	-0.267711421	16	0.301492151
D16M28	control	M28	-0.185397449	-0.211869034	16	0.301492151
D16M37	control	M37	2.723389129	3.500028722	16	0.301492151
D16M21	control	M21	-0.218287869	-0.326255491	16	0.301492151
D16M27	control	M27	-0.136065896	-0.352145768	16	0.301492151
D16M30	control	M30	2.187148072	3.217895408	16	0.301492151
D16M33	control	M33	-0.331361136	-0.467013738	16	0.301492151
D16M35	control	M35	-0.237708671	-0.360944129	16	0.301492151
D16M75	no_zinc	M75	-0.589123643	-0.249377896	16	1.753647268
D16M12	control	M12	-1.163701454	-0.440341541	16	0.301492151
D16M13	control	M13	-0.948516797	-0.849378181	16	0.301492151
D16M46	no_zinc	M46	1.35680374	2.929089104	16	1.753647268
D16M56	no_zinc	M56	2.136726533	3.364597865	16	1.753647268
D16M18	control	M18	-0.443055614	-0.67677987	16	0.301492151
D16M47	no_zinc	M47	2.349994391	4.572959576	16	1.753647268
D16M70	no_zinc	M70	-1.088886718	-0.278869712	16	1.753647268
D16M39	control	M39	3.054959808	3.935726499	16	0.301492151
D16M76	no_zinc	M76	-4.021651016	-0.399493942	16	1.753647268
D16M10	control	M10	2.564588064	3.016760096	16	0.301492151
D16M66	no_zinc	M66	-2.039161496	-0.239327047	16	1.753647268
D16M68	no_zinc	M68	-0.811818077	-0.45445975	16	1.753647268
D16M49	no_zinc	M49	2.54815524	3.885917695	16	1.753647268
D16M7	control	M7	-0.629515233	-0.340803249	16	0.301492151
D16M29	control	M29	-0.819033399	-0.279847393	16	0.301492151
D16M25	control	M25	2.470817815	3.17880738	16	0.301492151
D8M3	control	M3	-0.62365735	-0.253758403	8	0.278539922
D8M48	no_zinc	M48	-2.693282767	-1.804542141	8	1.620354324
D8M54	no_zinc	M54	1.540469897	2.844605211	8	1.620354324
D8M71	no_zinc	M71	-1.042890455	-0.722324491	8	1.620354324
D8M11	control	M11	1.608031715	2.278991617	8	0.278539922
D8M75	no_zinc	M75	-0.828524904	-0.622072101	8	1.620354324
D8M12	control	M12	-1.144369152	-0.443961468	8	0.278539922
D8M22	control	M22	-0.239575643	-0.301565792	8	0.278539922
D8M56	no_zinc	M56	-1.493871748	-0.399293359	8	1.620354324
D8M57	no_zinc	M57	-0.828038415	-0.405366549	8	1.620354324
D8M65	no_zinc	M65	-2.227123798	-1.00993308	8	1.620354324
D8M9	control	M9	-0.204649441	-0.259443453	8	0.278539922
D8M18	control	M18	0.000514002	-0.256162483	8	0.278539922
D8M38	control	M38	-0.067388272	-0.268306141	8	0.278539922
D8M47	no_zinc	M47	-2.413968711	-0.32429647	8	1.620354324
D8M55	no_zinc	M55	-1.719695797	-0.262749998	8	1.620354324
D8M59	no_zinc	M59	-1.871919038	-0.216285716	8	1.620354324
D8M70	no_zinc	M70	-0.957710645	-0.280986583	8	1.620354324
D8M15	control	M15	-0.205335882	-0.381694086	8	0.278539922
D8M2	control	M2	2.311051458	3.590272891	8	0.278539922
D8M32	control	M32	-0.954417946	-0.321135549	8	0.278539922
D8M39	control	M39	-1.147361581	-0.289547119	8	0.278539922
D8M4	control	M4	-0.915849516	-0.24014142	8	0.278539922
D8M67	no_zinc	M67	-1.267693513	-0.253946691	8	1.620354324
D8M74	no_zinc	M74	-0.795368422	-0.351449373	8	1.620354324
D8M76	no_zinc	M76	7.505621445	10.99448557	8	1.620354324
D8M79	no_zinc	M79	4.291072167	10.69010389	8	1.620354324
D8M10	control	M10	-0.730606293	-0.30138649	8	0.278539922
D8M53	no_zinc	M53	-0.139893055	-0.204807752	8	1.620354324
D8M58	no_zinc	M58	-0.857179719	-0.434841877	8	1.620354324
D8M61	no_zinc	M61	-1.051095466	-0.184634159	8	1.620354324
D8M63	no_zinc	M63	-0.793648059	-0.366007064	8	1.620354324
D8M69	no_zinc	M69	-2.026576284	-0.561882201	8	1.620354324
D8M72	no_zinc	M72	-0.727255907	-0.278468166	8	1.620354324
D8M66	no_zinc	M66	0.273038596	1.939580101	8	1.620354324
D8M68	no_zinc	M68	-0.522722037	-0.298656654	8	1.620354324
D8M49	no_zinc	M49	-1.524429749	-0.319960238	8	1.620354324
D8M7	control	M7	-0.572357935	-0.306598181	8	0.278539922
D8M73	no_zinc	M73	-1.787973846	-0.476092444	8	1.620354324
D8M29	control	M29	-0.829073572	-0.312839795	8	0.278539922
D8M36	control	M36	-0.129407277	-0.262916259	8	0.278539922
D8M25	control	M25	-0.970179776	-0.28514244	8	0.278539922
D8M50	no_zinc	M50	-0.698067519	-0.256403218	8	1.620354324
D8M60	no_zinc	M60	-0.805990538	-0.569624626	8	1.620354324
D8M77	no_zinc	M77	5.889714005	10.79554634	8	1.620354324
D8M78	no_zinc	M78	3.372111057	10.41658131	8	1.620354324
D8M80	no_zinc	M80	3.497539774	10.74037242	8	1.620354324
D2M3	control	M3	1.517073363	1.869758139	2	0.26132575
D2M48	no_zinc	M48	-1.058612442	-0.269841524	2	1.520384615
D2M54	no_zinc	M54	-1.591117865	-0.38695226	2	1.520384615
D2M1	control	M1	-0.121208865	-0.163124189	2	0.26132575
D2M14	control	M14	-0.644061991	-0.887179672	2	0.26132575
D2M23	control	M23	-0.283335355	-0.243924048	2	0.26132575
D2M26	control	M26	-0.442116776	-0.527066549	2	0.26132575
D2M28	control	M28	-0.233339249	-0.299977235	2	0.26132575
D2M37	control	M37	-1.021255187	-0.284781995	2	0.26132575
D2M40	control	M40	1.616988349	2.262554141	2	0.26132575
D2M43	no_zinc	M43	-1.066645725	-0.381681358	2	1.520384615
D2M64	no_zinc	M64	-1.045970218	-0.344812341	2	1.520384615
D2M71	no_zinc	M71	-0.616649999	-0.396053743	2	1.520384615
D2M8	control	M8	3.00448239	3.911409936	2	0.26132575
D2M11	control	M11	-1.106998738	-0.453253008	2	0.26132575
D2M16	control	M16	-0.315470732	-0.301228556	2	0.26132575
D2M17	control	M17	0.592109287	1.317187973	2	0.26132575
D2M19	control	M19	-0.287806947	-0.421000578	2	0.26132575
D2M20	control	M20	-0.361910036	-0.384040138	2	0.26132575
D2M21	control	M21	-0.304501132	-0.452635155	2	0.26132575
D2M24	control	M24	-0.298398088	-0.270784243	2	0.26132575
D2M27	control	M27	-0.106459148	-0.362705421	2	0.26132575
D2M30	control	M30	-1.256051504	-0.265470569	2	0.26132575
D2M31	control	M31	-1.029148503	-0.36049276	2	0.26132575
D2M33	control	M33	-0.226775423	-0.402594426	2	0.26132575
D2M34	control	M34	0.08758396	-0.348023241	2	0.26132575
D2M35	control	M35	-0.304573958	-0.467975817	2	0.26132575
D2M52	no_zinc	M52	2.412484888	3.561459838	2	1.520384615
D2M6	control	M6	-0.283505947	-0.244228252	2	0.26132575
D2M62	no_zinc	M62	0.8652015	3.473704226	2	1.520384615
D2M75	no_zinc	M75	-0.387589016	-0.281105921	2	1.520384615
D2M12	control	M12	2.846701847	3.529895359	2	0.26132575
D2M13	control	M13	-0.368269159	-0.309296944	2	0.26132575
D2M22	control	M22	-0.19520547	-0.274409791	2	0.26132575
D2M46	no_zinc	M46	-1.588362527	-0.249339814	2	1.520384615
D2M5	control	M5	1.536475259	3.001202017	2	0.26132575
D2M56	no_zinc	M56	-1.314153638	-0.319544958	2	1.520384615
D2M57	no_zinc	M57	-0.701135526	-0.378433368	2	1.520384615
D2M65	no_zinc	M65	1.712373601	2.829594611	2	1.520384615
D2M9	control	M9	-0.220943807	-0.292951991	2	0.26132575
D2M18	control	M18	-0.240810623	-0.51470128	2	0.26132575
D2M38	control	M38	-0.108794704	-0.326926745	2	0.26132575
D2M47	no_zinc	M47	0.663188849	2.652891382	2	1.520384615
D2M55	no_zinc	M55	1.511059478	2.868035568	2	1.520384615
D2M59	no_zinc	M59	1.194494369	2.750157983	2	1.520384615
D2M70	no_zinc	M70	-0.905994525	-0.329240171	2	1.520384615
D2M15	control	M15	-0.057687461	-0.251259838	2	0.26132575
D2M2	control	M2	1.213495179	2.475502441	2	0.26132575
D2M32	control	M32	-0.823640562	-0.207572336	2	0.26132575
D2M39	control	M39	-1.167993564	-0.327393275	2	0.26132575
D2M4	control	M4	2.480041134	3.138535059	2	0.26132575
D2M67	no_zinc	M67	-1.231963343	-0.318186228	2	1.520384615
D2M74	no_zinc	M74	-0.706677596	-0.362728255	2	1.520384615
D2M76	no_zinc	M76	-1.098299262	2.29059516	2	1.520384615
D2M79	no_zinc	M79	1.810235331	8.109297347	2	1.520384615
D2M10	control	M10	-0.744406491	-0.33240086	2	0.26132575
D2M51	no_zinc	M51	-1.011301185	-0.282989765	2	1.520384615
D2M53	no_zinc	M53	-0.293202455	-0.45808686	2	1.520384615
D2M58	no_zinc	M58	-0.672420696	-0.350052562	2	1.520384615
D2M61	no_zinc	M61	1.659461151	2.425952749	2	1.520384615
D2M63	no_zinc	M63	-0.72918141	-0.401510123	2	1.520384615
D2M69	no_zinc	M69	0.717716179	2.082440554	2	1.520384615
D2M72	no_zinc	M72	-0.768573875	-0.419755843	2	1.520384615
D2M66	no_zinc	M66	1.825093651	3.391665447	2	1.520384615
D2M68	no_zinc	M68	-0.448210104	-0.324114429	2	1.520384615
D2M49	no_zinc	M49	-1.554717838	-0.450218035	2	1.520384615
D2M7	control	M7	-0.718068318	-0.469522736	2	0.26132575
D2M73	no_zinc	M73	1.39412258	2.606034274	2	1.520384615
D2M29	control	M29	-0.779581108	-0.280561503	2	0.26132575
D2M36	control	M36	-0.074519643	-0.225242796	2	0.26132575
D2M25	control	M25	-0.981631312	-0.313808148	2	0.26132575
D2M50	no_zinc	M50	-0.806857311	-0.465162718	2	1.520384615
D2M60	no_zinc	M60	-0.961054642	-0.824658438	2	1.520384615
D2M77	no_zinc	M77	-1.694889801	3.110972825	2	1.520384615
D2M78	no_zinc	M78	3.553277789	10.49777833	2	1.520384615
D2M80	no_zinc	M80	3.681113703	10.82397664	2	1.520384615