	treatment	day	true_val	mouseid	residual	predicted k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__
D32M3	control	32	-0.338015235	M3	-2.009651542	1.671636318
D32M54	no_zinc	32	4.003175556	M54	2.573662471	1.429513073
D32M37	control	32	-0.272932357	M37	-1.944568662	1.671636318
D32M40	control	32	-0.394762682	M40	-2.06639899	1.671636318
D32M8	control	32	4.063625199	M8	2.391988866	1.671636318
D32M19	control	32	-0.263029269	M19	-1.934665578	1.671636318
D32M27	control	32	3.302474063	M27	1.630837739	1.671636318
D32M31	control	32	4.336297637	M31	2.664661303	1.671636318
D32M34	control	32	4.942727476	M34	3.271091139	1.671636318
D32M52	no_zinc	32	4.322484976	M52	2.892971888	1.429513073
D32M62	no_zinc	32	-0.423442713	M62	-1.852955776	1.429513073
D32M13	control	32	-0.295601846	M13	-1.967238148	1.671636318
D32M38	control	32	3.491456875	M38	1.819820546	1.671636318
D32M59	no_zinc	32	-0.45494813	M59	-1.884461192	1.429513073
D32M70	no_zinc	32	2.164051343	M70	0.734538272	1.429513073
D32M15	control	32	2.715251809	M15	1.043615485	1.671636318
D32M2	control	32	2.55780585	M2	0.886169527	1.671636318
D32M32	control	32	-0.432699628	M32	-2.104335936	1.671636318
D32M4	control	32	2.193038637	M4	0.521402315	1.671636318
D32M67	no_zinc	32	2.323270552	M67	0.893757476	1.429513073
D32M10	control	32	2.676332275	M10	1.004695958	1.671636318
D32M53	no_zinc	32	4.472220303	M53	3.042707216	1.429513073
D32M61	no_zinc	32	-0.304579142	M61	-1.734092205	1.429513073
D32M69	no_zinc	32	-0.263954945	M69	-1.693468006	1.429513073
D32M7	control	32	3.07897914	M7	1.407342818	1.671636318
D32M29	control	32	4.288858982	M29	2.617222653	1.671636318
D32M36	control	32	1.908571548	M36	0.236935227	1.671636318
D16M48	no_zinc	16	-0.445931959	M48	-0.947300105	0.501368127
D16M1	control	16	-0.267711421	M1	-0.72455225	0.45684083
D16M28	control	16	-0.211869034	M28	-0.668709862	0.45684083
D16M37	control	16	-0.441822615	M37	-0.898663431	0.45684083
D16M21	control	16	-0.326255491	M21	-0.783096318	0.45684083
D16M27	control	16	-0.352145768	M27	-0.808986604	0.45684083
D16M30	control	16	-0.335240933	M30	-0.792081761	0.45684083
D16M33	control	16	-0.467013738	M33	-0.923854564	0.45684083
D16M35	control	16	-0.360944129	M35	-0.817784955	0.45684083
D16M75	no_zinc	16	-0.249377896	M75	-0.75074604	0.501368127
D16M12	control	16	-0.440341541	M12	-0.897182366	0.45684083
D16M13	control	16	-0.849378181	M13	-1.306218996	0.45684083
D16M46	no_zinc	16	-0.442441282	M46	-0.943809404	0.501368127
D16M56	no_zinc	16	-0.421942209	M56	-0.923310328	0.501368127
D16M18	control	16	-0.67677987	M18	-1.133620694	0.45684083
D16M47	no_zinc	16	-0.79641683	M47	-1.297784946	0.501368127
D16M70	no_zinc	16	-0.278869712	M70	-0.780237836	0.501368127
D16M39	control	16	-0.390351308	M39	-0.847192134	0.45684083
D16M76	no_zinc	16	-0.399493942	M76	-0.900862061	0.501368127
D16M10	control	16	-0.794696163	M10	-1.251536993	0.45684083
D16M66	no_zinc	16	-0.239327047	M66	-0.740695168	0.501368127
D16M68	no_zinc	16	-0.45445975	M68	-0.955827869	0.501368127
D16M49	no_zinc	16	-0.269736066	M49	-0.771104199	0.501368127
D16M7	control	16	-0.340803249	M7	-0.797644083	0.45684083
D16M29	control	16	-0.279847393	M29	-0.736688234	0.45684083
D16M25	control	16	-1.080127328	M25	-1.536968151	0.45684083
D8M3	control	8	-0.253758403	M3	-0.103201478	-0.150556914
D8M48	no_zinc	8	4.552398341	M48	4.515102669	0.037295653
D8M54	no_zinc	8	-0.294768487	M54	-0.332064152	0.037295653
D8M71	no_zinc	8	4.087132407	M71	4.049836732	0.037295653
D8M11	control	8	-0.193065094	M11	-0.042508181	-0.150556914
D8M75	no_zinc	8	3.983458473	M75	3.946162802	0.037295653
D8M12	control	8	-0.443961468	M12	-0.293404548	-0.150556914
D8M22	control	8	-0.301565792	M22	-0.151008879	-0.150556914
D8M56	no_zinc	8	-0.399293359	M56	-0.436589005	0.037295653
D8M57	no_zinc	8	-0.405366549	M57	-0.442662199	0.037295653
D8M65	no_zinc	8	3.724065082	M65	3.686769409	0.037295653
D8M9	control	8	-0.259443453	M9	-0.10888654	-0.150556914
D8M18	control	8	-0.256162483	M18	-0.105605563	-0.150556914
D8M38	control	8	-0.268306141	M38	-0.117749237	-0.150556914
D8M47	no_zinc	8	-0.32429647	M47	-0.361592113	0.037295653
D8M55	no_zinc	8	-0.262749998	M55	-0.30004565	0.037295653
D8M59	no_zinc	8	-0.216285716	M59	-0.253581358	0.037295653
D8M70	no_zinc	8	-0.280986583	M70	-0.318282235	0.037295653
D8M15	control	8	-0.381694086	M15	-0.231137179	-0.150556914
D8M2	control	8	-0.401937038	M2	-0.251380129	-0.150556914
D8M32	control	8	-0.321135549	M32	-0.170578625	-0.150556914
D8M39	control	8	-0.289547119	M39	-0.138990202	-0.150556914
D8M4	control	8	-0.24014142	M4	-0.08958451	-0.150556914
D8M67	no_zinc	8	-0.253946691	M67	-0.291242347	0.037295653
D8M74	no_zinc	8	-0.351449373	M74	-0.388745024	0.037295653
D8M76	no_zinc	8	-0.431092579	M76	-0.468388225	0.037295653
D8M79	no_zinc	8	-0.325859891	M79	-0.363155542	0.037295653
D8M10	control	8	-0.30138649	M10	-0.150829575	-0.150556914
D8M53	no_zinc	8	-0.204807752	M53	-0.242103419	0.037295653
D8M58	no_zinc	8	-0.434841877	M58	-0.472137528	0.037295653
D8M61	no_zinc	8	-0.184634159	M61	-0.221929802	0.037295653
D8M63	no_zinc	8	-0.366007064	M63	-0.403302714	0.037295653
D8M69	no_zinc	8	-0.561882201	M69	-0.599177842	0.037295653
D8M72	no_zinc	8	-0.278468166	M72	-0.315763817	0.037295653
D8M66	no_zinc	8	-0.310848411	M66	-0.348144058	0.037295653
D8M68	no_zinc	8	-0.298656654	M68	-0.3359523	0.037295653
D8M49	no_zinc	8	-0.319960238	M49	-0.357255897	0.037295653
D8M7	control	8	-0.306598181	M7	-0.15604127	-0.150556914
D8M73	no_zinc	8	-0.476092444	M73	-0.513388095	0.037295653
D8M29	control	8	-0.312839795	M29	-0.162282892	-0.150556914
D8M36	control	8	-0.262916259	M36	-0.112359347	-0.150556914
D8M25	control	8	-0.28514244	M25	-0.134585519	-0.150556914
D8M50	no_zinc	8	-0.256403218	M50	-0.293698869	0.037295653
D8M60	no_zinc	8	-0.569624626	M60	-0.606920273	0.037295653
D8M77	no_zinc	8	-0.402709686	M77	-0.440005336	0.037295653
D8M78	no_zinc	8	-0.415724509	M78	-0.453020159	0.037295653
D8M80	no_zinc	8	-0.437480152	M80	-0.474775802	0.037295653
D2M3	control	2	-0.555758633	M3	0.0503466	-0.606105222
D2M48	no_zinc	2	-0.269841524	M48	0.040917158	-0.310758702
D2M54	no_zinc	2	-0.38695226	M54	-0.07619357	-0.310758702
D2M1	control	2	-0.163124189	M1	0.442981034	-0.606105222
D2M14	control	2	-0.887179672	M14	-0.281074448	-0.606105222
D2M23	control	2	-0.243924048	M23	0.362181172	-0.606105222
D2M26	control	2	-0.527066549	M26	0.079038673	-0.606105222
D2M28	control	2	-0.299977235	M28	0.306127989	-0.606105222
D2M37	control	2	-0.284781995	M37	0.321323241	-0.606105222
D2M40	control	2	-0.382894907	M40	0.223210325	-0.606105222
D2M43	no_zinc	2	-0.381681358	M43	-0.070922656	-0.310758702
D2M64	no_zinc	2	-0.344812341	M64	-0.034053639	-0.310758702
D2M71	no_zinc	2	-0.396053743	M71	-0.085295063	-0.310758702
D2M8	control	2	-0.352254674	M8	0.253850534	-0.606105222
D2M11	control	2	-0.453253008	M11	0.152852213	-0.606105222
D2M16	control	2	-0.301228556	M16	0.304876665	-0.606105222
D2M17	control	2	-0.359638921	M17	0.2464663	-0.606105222
D2M19	control	2	-0.421000578	M19	0.185104654	-0.606105222
D2M20	control	2	-0.384040138	M20	0.222065083	-0.606105222
D2M21	control	2	-0.452635155	M21	0.15347007	-0.606105222
D2M24	control	2	-0.270784243	M24	0.335320977	-0.606105222
D2M27	control	2	-0.362705421	M27	0.243399795	-0.606105222
D2M30	control	2	-0.265470569	M30	0.340634656	-0.606105222
D2M31	control	2	-0.36049276	M31	0.245612446	-0.606105222
D2M33	control	2	-0.402594426	M33	0.2035108	-0.606105222
D2M34	control	2	-0.348023241	M34	0.258081962	-0.606105222
D2M35	control	2	-0.467975817	M35	0.138129409	-0.606105222
D2M52	no_zinc	2	-0.381643251	M52	-0.070884564	-0.310758702
D2M6	control	2	-0.244228252	M6	0.361876968	-0.606105222
D2M62	no_zinc	2	-0.343615169	M62	-0.032856457	-0.310758702
D2M75	no_zinc	2	-0.281105921	M75	0.029652763	-0.310758702
D2M12	control	2	-0.468487192	M12	0.137618036	-0.606105222
D2M13	control	2	-0.309296944	M13	0.296808294	-0.606105222
D2M22	control	2	-0.274409791	M22	0.33169543	-0.606105222
D2M46	no_zinc	2	-0.249339814	M46	0.061418892	-0.310758702
D2M5	control	2	-0.2536655	M5	0.35243972	-0.606105222
D2M56	no_zinc	2	-0.319544958	M56	-0.008786249	-0.310758702
D2M57	no_zinc	2	-0.378433368	M57	-0.067674664	-0.310758702
D2M65	no_zinc	2	-0.27947057	M65	0.031288112	-0.310758702
D2M9	control	2	-0.292951991	M9	0.31315323	-0.606105222
D2M18	control	2	-0.51470128	M18	0.091403948	-0.606105222
D2M38	control	2	-0.326926745	M38	0.279178467	-0.606105222
D2M47	no_zinc	2	-0.659856504	M47	-0.349097792	-0.310758702
D2M55	no_zinc	2	-0.279638437	M55	0.031120266	-0.310758702
D2M59	no_zinc	2	-0.277915617	M59	0.032843095	-0.310758702
D2M70	no_zinc	2	-0.329240171	M70	-0.018481467	-0.310758702
D2M15	control	2	-0.251259838	M15	0.354845378	-0.606105222
D2M2	control	2	-0.28430102	M2	0.321804197	-0.606105222
D2M32	control	2	-0.207572336	M32	0.398532896	-0.606105222
D2M39	control	2	-0.327393275	M39	0.278711951	-0.606105222
D2M4	control	2	-0.34468359	M4	0.261421628	-0.606105222
D2M67	no_zinc	2	-0.318186228	M67	-0.00742753	-0.310758702
D2M74	no_zinc	2	-0.362728255	M74	-0.051969551	-0.310758702
D2M76	no_zinc	2	-0.360181462	M76	-0.049422752	-0.310758702
D2M79	no_zinc	2	-0.532411719	M79	-0.221653014	-0.310758702
D2M10	control	2	-0.33240086	M10	0.273704363	-0.606105222
D2M51	no_zinc	2	-0.282989765	M51	0.027768937	-0.310758702
D2M53	no_zinc	2	-0.45808686	M53	-0.147328172	-0.310758702
D2M58	no_zinc	2	-0.350052562	M58	-0.039293858	-0.310758702
D2M61	no_zinc	2	-0.325451329	M61	-0.014692617	-0.310758702
D2M63	no_zinc	2	-0.401510123	M63	-0.090751419	-0.310758702
D2M69	no_zinc	2	-0.303261125	M69	0.007497589	-0.310758702
D2M72	no_zinc	2	-0.419755843	M72	-0.108997139	-0.310758702
D2M66	no_zinc	2	-0.379412557	M66	-0.068653849	-0.310758702
D2M68	no_zinc	2	-0.324114429	M68	-0.013355721	-0.310758702
D2M49	no_zinc	2	1.909769975	M49	2.220528671	-0.310758702
D2M7	control	2	-0.469522736	M7	0.136582483	-0.606105222
D2M73	no_zinc	2	-0.304977052	M73	0.005781653	-0.310758702
D2M29	control	2	-0.280561503	M29	0.325543708	-0.606105222
D2M36	control	2	-0.225242796	M36	0.380862423	-0.606105222
D2M25	control	2	-0.313808148	M25	0.292297081	-0.606105222
D2M50	no_zinc	2	-0.465162718	M50	-0.154404014	-0.310758702
D2M60	no_zinc	2	-0.824658438	M60	-0.51389973	-0.310758702
D2M77	no_zinc	2	-0.374587176	M77	-0.063828472	-0.310758702
D2M78	no_zinc	2	-0.432638371	M78	-0.121879666	-0.310758702
D2M80	no_zinc	2	-0.442702252	M80	-0.131943547	-0.310758702