feature	importance
Akkermansia muciniphila	0.285277738
Muribaculaceae sp.	0.136000453
Peptococcaceae rc4-4 sp.	0.083974205
Streptococcus agalactiae	0.081735175
Staphylococcus	0.07746794
Enterobacteriaceae	0.072939596
Enterococcus	0.064042057
Proteus sp.	0.046156288
Bifidobacterium pseudolongum	0.039346179
Lactobacillus sp.	0.034071522
Lactobacillus salivarius	0.018595238
Bacillus sp.	0.015544323
Ruminococcaceae sp.	0.015195871
Corynebacterium sp.	0.011908925
Streptococcus	0.009399874
Morganella morganii	0.004319426
Enterococcus sp.	0.00402519